UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,UGDS_MEN,UGDS_WOMEN
9139.0,,0.7372,0.1448,0.0235,0.0074,0.0043,0.0013,0.0174,0.0556,0.0085,,,,,,,,,,,,,0.4276,0.5724
8845.0,,0.7751,0.0897,0.0531,0.0119,0.0099,0.0008,0.0242,0.0353,0.0,,,,,,,,,,,,,0.444,0.556
2885.0,,0.5972,0.3224,0.0364,0.0042,0.0017,0.0014,0.0208,0.0038,0.0121,,,,,,,,,,,,,0.4198,0.5802
56.0,,0.8393,0.1429,0.0,0.0,0.0,0.0,0.0179,0.0,0.0,,,,,,,,,,,,,0.0536,0.9464
802.0,,0.7419,0.1995,0.0137,0.0125,0.0087,0.0,0.0224,0.0,0.0012,,,,,,,,,,,,,0.1147,0.8853
1547.0,,0.9489,0.0284,0.0136,0.0006,0.0058,0.0,0.0026,0.0,0.0,,,,,,,,,,,,,0.3407,0.6593
9232.0,,0.6545,0.1969,0.0434,0.0168,0.0048,0.001,0.0336,0.0379,0.0112,,,,,,,,,,,,,0.4131,0.5869
788.0,,0.6701,0.2221,0.0419,0.0013,0.013999999999999999,0.0013,0.0152,0.0317,0.0025,,,,,,,,,,,,,0.5406,0.4594
1033.0,,0.6505,0.0871,0.2043,0.0048,0.0184,0.0,0.0348,0.0,0.0,,,,,,,,,,,,,0.2953,0.7047
173.0,,0.9364,0.0347,0.0231,0.0058,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.4913,0.5087
212.0,,0.3726,0.5991,0.0094,0.0,0.0142,0.0,0.0047,0.0,0.0,,,,,,,,,,,,,0.5329999999999999,0.467
732.0,,0.5355,0.4208,0.0191,0.0137,0.0055,0.0,0.0055,0.0,0.0,,,,,,,,,,,,,0.3552,0.6448
205.0,,0.322,0.639,0.039,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0439,0.9561
398.0,,0.6859,0.1985,0.0578,0.0025,0.0075,0.0,0.0251,0.0,0.0226,,,,,,,,,,,,,0.0302,0.9698
2269.0,,0.7871,0.1194,0.0591,0.0132,0.0097,0.0,0.0,0.0,0.0115,,,,,,,,,,,,,0.3561,0.6439
1067.0,,0.8397,0.0356,0.0534,0.0084,0.0112,0.0028,0.0412,0.0028,0.0047,,,,,,,,,,,,,0.3252,0.6748
4485.0,,0.8299,0.0397,0.0308,0.008,0.0071,0.0002,0.0161,0.064,0.0042,,,,,,,,,,,,,0.4488,0.5512
3226.0,,0.6569,0.2365,0.0422,0.0071,0.0015,0.0,0.0453,0.0096,0.0009,,,,,,,,,,,,,0.4476,0.5524
1322.0,,0.7753,0.0492,0.0492,0.0567,0.0166,0.0008,0.0068,0.0408,0.0045,,,,,,,,,,,,,0.4508,0.5492
43.0,,0.7907,0.09300000000000001,0.09300000000000001,0.0233,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0233,0.9767
73.0,,0.8356,0.1644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.13699999999999998,0.863
1742.0,,0.7618,0.0253,0.0591,0.0121,0.0178,0.0,0.0339,0.0597,0.0304,,,,,,,,,,,,,0.4328,0.5672
28.0,,0.3929,0.4643,0.0714,0.0,0.0,0.0,0.0,0.0,0.0714,,,,,,,,,,,,,0.1071,0.8929
344.0,,0.6628,0.0494,0.2616,0.0116,0.0116,0.0,0.0029,0.0,0.0,,,,,,,,,,,,,0.0378,0.9622
102.0,,0.6961,0.0294,0.0686,0.0098,0.1667,0.0098,0.0196,0.0,0.0,,,,,,,,,,,,,0.049,0.951
1127.0,,0.3798,0.5537,0.0098,0.008,0.0044,0.0009,0.0426,0.0009,0.0,,,,,,,,,,,,,0.354,0.6459999999999999
1037.0,,0.6249,0.3105,0.0434,0.0048,0.0029,0.001,0.0125,0.0,0.0,,,,,,,,,,,,,0.3308,0.6692
45.0,,0.6444,0.2444,0.1111,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,1.0
67.0,,0.0149,0.9851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.6418,0.3582
1662.0,,0.9061,0.0036,0.0475,0.0024,0.0096,0.0006,0.0283,0.0018,0.0,,,,,,,,,,,,,0.3839,0.6161
267.0,,0.8914,0.0075,0.0637,0.0075,0.0037,0.0075,0.0,0.0,0.0187,,,,,,,,,,,,,0.5318,0.4682
1455.0,,0.8426,0.079,0.0399,0.0089,0.0069,0.0007,0.0,0.022000000000000002,0.0,,,,,,,,,,,,,0.4797,0.5203
810.0,,0.7667,0.1519,0.0432,0.0012,0.0025,0.0012,0.0321,0.0012,0.0,,,,,,,,,,,,,0.2988,0.7012
1065.0,,0.9709,0.0066,0.0131,0.0038,0.0047,0.0009,0.0,0.0,0.0,,,,,,,,,,,,,0.2507,0.7493
