UNITID,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,LOAN_EVER
441672,9500,PrivacySuppressed,9500,PrivacySuppressed,PrivacySuppressed,5500,9500,PrivacySuppressed,PrivacySuppressed,9500,9500,PrivacySuppressed,9750,5500,PrivacySuppressed,0.916666667
441690,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
441706,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
441742,9500,4413,9500,9500,9500,9500,9500,9500,9500,9500,9500,16724,15643,9113,3871,0.881141046
441751,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
441760,11507,4630,4750,5996,5890.5,3776,8522,5500,5500,5500,5500,18009,11250,2776,2200,0.598079561
441779,9834.5,3067,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7667,7960,8629.5,6149,8629.5,6149,16500,9836,4221,1441,0.828125
441788,20000,4750,14750,19344,17492.5,16242,16314,11765.5,16688,20000,11548,26250,20000,5343,3500,0.755681818
441830,8500,PrivacySuppressed,6768,PrivacySuppressed,PrivacySuppressed,5500,9108.5,6950,6780.5,6477.5,7229,9500,9500,5458,3160,0.869565217
441858,8924,4750,8343,9500,9500,8907,8562,8562,9500,8386,8690,19998,14584,7490,4584,0.860927152
441876,13833,4750,11700,9833,9833,9833,13000,PrivacySuppressed,PrivacySuppressed,9833,9833,16500,16500,6761,4750,0.888888889
441900,24750,10733,11643,12500,11090,6500,14349,12500,11000,12500,11469,35343,23610,5500,2778,0.648711944
